pattern,Position,DeterministicFollow,DeterministicPosition,Follow,MarkBefore
(canjcacjf*fl)*(ufvojfj(jj)*)*,20,18,20,18,18
ucncn*(ciw)*(kkk(uuu*vn*n*)*)*k*(nw)*,20,18,19,18,18
brbi*bsvhrh|jjhsr*uhvv*b,20,17,21,17,16
fx*lkebh(hib)*(f|pfl)*(f|x)b*|p*w*k*,20,17,20,16,17
tt(mt*t(mm*m)*t|tmm|t(tm)*)*(tt)*mtm,20,29,32,15,27
((kkkk)*(xk*|((kx)*kx|(kk*)*)*)*kkxkxxxx*)*,20,20,21,18,19
i(iz)*z(zz)*(zzz)*ii(i(zz)*z*ii)*zzz*,20,18,21,16,16
hh|hhho((o(h|oho|oh*o*)*)*h*ho)*o(o*o)*,20,15,17,16,12
(mg((m(gmm*|m)*gm*)*(g*g|g*g*gm)*)*m(g|m))*gm,20,31,33,14,26
(ip*iip(p|i*)*)*i(i|p)*ii|pi(i|pp)*|ipi*,20,21,25,13,21
ka*k*akaa|(a(kk|kakkkk*a)*|kka*)*,20,22,25,16,21
yuy*yyuyy*u|uyuuyyu(yu|yu)*,20,16,18,17,15
s|seseeeeesssseeses*|s|s,20,17,18,18,17
(sso|sso*sss*ss|ssos|ssoso)*,20,16,19,15,16
(xewf|wfbexwbew(w*wxe)*(eww)*)*,20,19,21,19,19
(gg)*n(yo)*gyneg(gg)*eeyen*|o*g|e,20,18,22,17,17
h|o*|dww*tt(thww*(t*w)*|hhdto)do,20,19,21,18,17
qjnc(cnn*q*)*ejcc|ncjj*cqen,20,18,21,18,17
r|c|(nnn)*(n*gn*xx|cc(c*c)*x|xg|nrg),20,13,18,14,11
((j|v)(v|oj)*je(ovo*vjoo|(j|o)*e*jj*j)*)*,20,23,30,13,21
(m|x)|gghmbmx*hhh*(bg*g*)*h(bm)*xg,20,17,21,15,15
(z(m*w)*|(jjzj)*mmz*j*(z*z)*nm)*|jnm|w*w*,20,20,21,19,18
(ae)*n|ngea(lal*)*gn|nlg(gn)*|(a|na)*,20,18,21,17,17
kq*|i|s|q*(u(ki)*)*k|ku*suisk|ksku,20,14,19,14,13
pp*qopr(q(imgqa*)*)*af*zo|(rpqq)*,20,19,21,18,18
f*lgitx*lgvxeig*xrd|vd*d*g,20,17,20,17,15
hngnsi*f*zs|fhznz|fz*hbz*s,20,16,20,16,15
fq*x(qvq)*|w(xx)*(((v|(xw)*)|(rx)*)(wf*r*)*rj|v)*,20,16,20,16,15
zjvsvts(tv)*|ttrvvrscrcg,20,20,21,20,19
z|xy|(babqa)*x|a*(x*z*)*my*qlml|z|b,20,16,20,14,15
zziawmrz|rhtz*u*e|ii*m*wii,20,17,21,17,16
((ht)*u(ub)*h(wk)*k(h*thhuu)*(wihiw)*)*,20,21,24,18,21
(nx)*ln(w|c)*ncfff(xfqn)*nxqqn,20,17,21,17,16
qbg(b*bkb*w*bk)*rcwb*g(b|f*)rkc,20,18,20,18,17
o*rcdgrsqvaicrw*grrvngdualyo|jlnw(iqsz)*mv|fg*wkvuvz*rosrup,50,45,51,45,44
wpqpuogahnipyycwtrnzpqcjwqtplmpqvwmjv(rw)*gxoltcosdxj,50,50,51,50,49
(feswlxylv(hw)*ou|aifblqdpenuefekqemzyoq(rq)*wrpahoilszcut)*,50,47,51,47,47
gtbuqcu(qd)*x(xz)*hzotolfrjgclotbklleyhd(tw)*w|terwldbo|zjl(yp)*,50,46,51,46,45
fzdbwcjwsgpwww|wqlckkarcpoapfz*zwyqjvbibtikwphgynlna,50,49,50,49,48
xznyztoawogfipbklm(tn)*|npupln(jt)*fp(mr)*em|fw(h|d)*(xf)*if|tsh*w(ci)*vk,50,42,51,42,41
wwjwljfvfqlvp(zg)*fdwgqb(fpm*ve*t*tk*)*jjnfsydym|dnt|rchkfdgja,50,45,50,45,44
va*bej(qifp)*xw*btfb|wcsajyczheplzuwcpcbbenaqs*|s*oayzu*nzwz,50,45,51,45,44
s|p*rxehq*gnwo|(af)*vteb|hgftuklo(dgdpl|tp(hv)*djuqwvqx*z|ce*l*wjhi)*,50,42,51,42,41
lolqkxqmrcdkxa|qhjzar(io(qnl)*)*(narff)*(sreu)*|t|shbfgibloey|gtok,50,47,51,47,46
ddboh|zcs|wxujwl|yqzgkn|ibwlezm|a|x|p|ckuerunddkbx|mhvepcy|o,50,41,51,41,40
j|s|hzfdaq|mqzbktuh|wfptpruiz|m|mmgn|vn|oyqjpyofwst|rf|g|wkmt,50,38,48,40,37
t|mzynmuclnevbfyjgd|lek|yct|hhvkg|ayi|wbhfuexr(j|u)|d|d|wldbqx,50,40,49,41,39
h|s|o(rpx|wbnfa)fyhqbd|wn|pfo(r|v|q)lbp|q|zrczqwqqfcmsn|qvv|tdqbh,50,40,50,40,39
w|r|yrwza|afc(m|m)ffcypiqzaxnhuhmfe|mvvxqmoaup|ul|tpu|htdkrp,50,43,50,43,42
vrasxebexlvf|wz|wvc(t|dh|r)yaxycvfejpcfxgmjfvwcwz|rbjctzk,50,45,50,46,44
icwoyevfv|jpda|kwts|d|ag|bekhxkivfixfbpt|xxqc|q|x|fbblox|hzr,50,41,50,41,40
fmzyp|k|dor|uzjkp|dpblffceuy|eouo|kz|dbgj|nezqkvnpy|tvxv|trc,50,38,47,41,37
vr(q|s)bzxujjezajj|qtmos|sgkkxrnwqamfjgwaiwtgbdrqccbhrw,50,48,51,48,47
qifcpdtzbt|nheabvwcvnjawpescwzqx|wbmpgquu|hswuxodwexx,50,48,51,48,47
(x*fb*k*ue(mu)*fs(ucdj(icegln)*)*mb((xvvt)*dckk)*h*s(cqy*)*rx(zs)*mlab*xt(o*me)*o*i)*,50,41,50,42,40
dsfmczed(y(xb)*iwncpt*od*oa*o(gj*)*arxtd)*u*ffafbw*jrv*qzga(og)*cz*dsd,50,41,51,41,40
((r*m*)*u((y*j)*byasf)*od)*(hyevxpreactsd*p(hf)*nx(triqp*(oc*)*bsz*nw(ig)*jzei(vr)*)*)*,50,41,51,41,41
(z(ob)*)*ypv*bwhri((uxchcgnyfiw*p*xhu*ha*diy*(lh)*)*(qlhlcsb)*wifx)*xreeem,50,44,51,44,43
rx(treru*(z*(sl)*)*w*c)*xpi(dj)*ovf*x*lz*yugzm(s*y)*tpiqlbph(zy)*arc*z(iz*)*vvjt,50,41,51,41,40
z*bbq*rxc*u*ym(i*muj)*yqm(yov*h)*dd*apr*w(fg)*g*lg((bo)*z*kjmx*(wh)*xg*)*h*aitibg,50,41,51,40,40
gbprmkrnj(cr*o(cvm)*muilqfx(nn*e)*)*lkbdknjxmnylraubez*f*ov*f*fil,50,44,50,45,43
t*e*e(hpmpqhle*(fykjliw*it)*d(gxz)*(zo*)*buy(oawx)*)*xyd*lb*bf*a(rgndlkt)*ge,50,41,49,41,40
(ymdsdlxgatxx*oewyepzqje(n*n)*ggr((ai*)*d(wqk)*)*)*((ed*)*p(cc)*)*yar(jq)*c(d*p)*jezm,50,43,50,43,41
(yi)*buk*x(nqc*e)*spzzi*kth*(m(eda*)*(aqnn*)*)*y*(ikd*)*cgrbm*ni(ud*)*l*amx(grxi)*nf*q,50,39,51,38,38
(((bk)*jw|o|xp)nr(yv)*)*(p|tqlbb)*kmqbe*jkn|bxyjo*yt|ehap(s|j)*mv*(o*|tr*)*gqs*ptr*v,50,37,51,37,36
((tu|vz(mh*bu)*c*l(f|u*b)zcp(aod(cd*ma*nlmfz|qtuf)*do*otu(qe)*)*)*fd(fi|ei)(snrqk)*)*,50,40,50,40,40
zpfq*tn*tv((nh|o|wc)*|a*ha(uhq)*omfy*gqr|si(i*|zo*bepblmp)*pygz*nt*)*(m*|g|ka)sj*,50,36,51,36,36
(tc)*gw|us|wypra((abqkqj)*odz*wm|i|v(up|n(n*u)*lzjwxpclpraf)*(de|xh)*fo|bs*b*)*,50,41,51,41,39
grhphknvan*rgkhgp*e|zd(kj*q|ro|n*jr|c|ex*g*ctp*y*sv(a|v)*qc)(t*(a*c)*)*|yzwcwy,50,37,51,37,36
(k*|v)f*(hy|d)*knyn(rc(k|y)*aa*)*mhsx*ts*|t*gkecea*s*y*m|kmlqxmsko((my)*|nl)*(liqbi)*,50,41,51,41,40
z|t(d(tf)*)*(ao)*(b*(t|ab)j*b)*i(j*q*)*j*f(jsqkay|(q|j*h)|xl|v*ql)*sv((wc)*rt|(h*|fct*a(l*og)*ponb*)*)*,50,37,50,36,35
((sl)*tbhme*|a)*p(dkz*n)*s(n(c|j)*)*i*ll*bs(mjf|rdmvubwtd*eppzokvlm(m|az)*am|jl)*,50,37,50,38,37
(m|wyphs*j*gqiysfton*p|(ra)*oetm|w)*vi|zi*i|vqn*xn*hmn|w|p*uxsdatfvvu|r,50,41,49,38,40
(a*d)*(l*axpdw)*o|zxqt(hrwy(c*y*v)*|zc|((mk(h|v(tm)*)*)*w*w)*)*vc(qqt)*ja|z*(vl)*(wa*)*qb((on)*(iz*uj)*)*,50,43,53,40,41
(b(bg)*)*ggb*gg|b*bbb((b(bg)*)*gbbb*bgbbb*gg*(bb)*gg(b*g)*gbg*g(bgb)*g|bg*|gb)*|(bg*)*bgbb,50,176,180,37,163
xl*l*xll*xlx(ll)*(xx)*ll((l*llxll*xxxl|xll*x(xl)*)*x*xlx*l*l*lxl|xl)*xx|l*l(l|l*xl)*,50,98,106,40,95
((fff*)*(l*(ff)*ll)*ll(l(f*lff*l)*(ll*)*l*llf)*lllff|f*f|l(f|fl)*fflllll((fl*flff(fl)*)*ff*)*)*,50,259,279,39,255
(uuu*mmmmmmmu*u*uu*|muummmu*)*mmumu(mm(mu)*u(um|u*u)*u*mumu)*mm*|mmmu(mm)*um*,50,54,60,40,54
pkkk(kkpk)*pkp|pp((kk)*p*kk)*p*kpk(pk)*pkk*kkpk(p*kp*kpp)*k(k*k)*pppkp(kp)*ppk,50,56,63,42,54
qll*(l(l*q*l)*qll|lq)*lqq*(l*q*)*(qq)*qq*qqqlqlllqq*((l|qql)*lll(qq*)*|(qllq)*)*qqlq*lq*,50,85,85,40,83
(p*p*(p(pz)*)*zpz|(pp)*(zz)*z*pzpzzp*p|zzpppzp)*((zp(ppz(pz|p*)*pz)*p(pzpp*z)*pz*)*pz*p*zz)*,50,331,336,39,303
(h*(h(hh)*)*hhc*cccchcc*c*(cc)*(cchhc(h*h*)*)*hcch*chcch|cchc(hc)*h*c(c(ch*)*)*(chc)*cch)*,50,121,131,41,113
d*oo(ddooddod|do)*dooooddo(do)*(oo*)*(dd)*ododddo(d|d*|ddo*od|(ddd*)*oo|dooo)*,50,38,48,39,38
(xhxhhhx)*hhxx(xxh*)*xhhxhhh*xhxx*h*(x|hhxh*x)*hxh|hx*x*x(xhxxx(hhh*x)*x|x)*,50,49,57,41,47
wxup(xx)*(xw)*up(p(w*x)*uuuxxxvp|uwxuw*uu*pupwuv|pp*wuxvpu*(x*(vv)*v|v)*pw*u)*,50,41,50,40,40
(m*xx*n(om)*n*n*om(xn)*)*m|x(mxvn)*nom(nv*o)*xov(omv)*vxvmxonx(vmv|v)*vooo(vx)*vo,50,46,53,40,45
jxjugum*(x*umx)*xj*|mu|j*g*guj(mu)*|jjguguj*u*(x|(uu*)*mx)*(jjgg)*(mgguj|g*juu(uu)*)*,50,51,58,44,49
p*pbfzf*fp*zef*pfffpbb*ffz|fff*z(bb)*zfb*eb|((epbf)*fbf)*ebf*fez|zpzez,50,40,48,40,39
(((hzz*zv)*|z|v*|zhzfh*htf|zf)vv*f(v*z*ff(ffhf)*(hf)*)*tfhzzvfzhtzv*t(((zh*)*zv)*tht)*)*,50,46,51,42,45
s*(sf)*(fw)*fwhsh(hh*s)*(fs)*fhfwwwjs(fhwj)*shff*hf*|jwfhssffsj*(js)*js*whf*,50,42,48,43,42
a*ad(u|u)*taxu*aud(tu)*|((dt*xadaaxud*|du)*xtaxt*u(uddda*(x*a*ada)*)*(ta)*|a*(a(ad)*(ud)*)*)*,50,61,64,42,61
(ki*io(icoic)*(c(okc)*i*(ci)*o|o((yyi|y*)*yo(yky)*)*ic(kc)*ii*(co)*ky)*)*(yy(c*i(cok)*oi)*)*(yc|yi)*,50,38,47,40,38
j(xm*)*(jmj)*(xa)*ja*j|jjmxazaxaj*|m*x*zjz(ax*)*(m*m)*xzmxxma|xxzjj|zmam(xa*xm)*,50,43,49,43,42
jp(rp*b*)*z(pj)*(bjj)*zpzrpjp*rr|z|brjbbjrbj(rb*pzp|rpb*)*jzp(j*rbj)*p*zjbb,50,43,50,42,42
((hl)*(cx)*hrl(ltk)*x*f)*(jhf*ktr(hj)*)*jltvfxc*hxflxr*lfttfc(tr)*l*ktk|kxhh*h,50,43,49,43,42
(l|chlccffuhgru(g*t)*hu)*|uhc|cu*ghh(utcchugg*rrrf*r(lh)*hn*(m*n)*|(l|lht*fr)*)*,50,43,50,41,41
(ek)*((evzk)*pz)*(yu*v*)*zz(zzeek|ze(e*|ks)*)*((usukp|zz*(xeu(xp)*)*)*z*s*|(y|d*)*(yuv)*vs*yv*dzux*)*,50,38,49,38,38
z|pdzofpxxtytd*(ox)*(zy)*(xyx*f)*(xztof(tv)*)*((xtx)*pp)*tdzww*ztoftttzpyyo*,50,46,51,46,45
oh(is)*(sr*r)*(i*o)*(rohm*r*hs*moirj(d|cjnm*m)*(d*(c*rnh)*)*|m(jd)*)*cjcn*jc*(mmhoh(od)*mh)*,50,46,54,39,45
objrkfk*ko*oqkj(bc)*qb*qq(bq)*b*jq(db*d*)*cdoaq*abk*c(r*a)*a(d|a*)*(k*r)*dadkdfb,50,46,54,40,44
((lb)*u*j)*a*ljbbf|(v*w)*|accau*lwabjxxf(ac*bvww*)*bvu|cabb(lb)*f*ja*fjfx|f(jv)*,50,44,52,43,43
